@relation mixed_instances_1

@attribute token_count numeric
@attribute avg_token_count numeric
@attribute SLD_URL_mal numeric
@attribute SLD_URL_phis numeric
@attribute SLD_URL_spam numeric
@attribute inbound_link_google numeric
@attribute inbound_link_yahoo numeric
@attribute inbound_link_bing numeric
@attribute lookup_time numeric
@attribute trust_score_1 numeric
@attribute trust_score_2 numeric
@attribute safety_score_1 numeric
@attribute safety_score_2 numeric
@attribute category_negative numeric
@attribute category_questionable numeric
@attribute category_neutral numeric
@attribute category_positive numeric
@attribute blacklist_mal numeric
@attribute blacklist_phis numeric
@attribute blacklist_scam numeric
@attribute blacklist_spam numeric
@attribute class {malware,phishing,spamming}

@data
4,4.25,0.000643,0.000035,0,0,0,0,285,2,14,6,9,0,0,0,0,0,0,0,0,malware
4,4.25,0.00964,0.038167,0.00537,0,0,0,959,34,7,0,0,3,0,0,0,1,0,0,0,phishing
2,5.5,0,0,0.000004,0,0,0,24006,0,0,0,0,0,0,0,0,0,0,0,0,spamming
3,4.666667,0.000643,0,0,0,0,0,386,37,7,8,7,0,0,0,0,0,0,0,0,malware
4,2.5,0,0.000069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phishing
2,8.5,0,0,0.000004,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,spamming
3,4.666667,0.000643,0,0,0,0,0,396,37,7,8,7,0,0,0,0,0,0,0,0,malware
2,5,0,0.00045,0,0,0,0,33,91,61,91,54,0,0,43,99,0,0,0,0,phishing
2,9,0,0,0.000004,0,0,0,52,5,13,11,6,0,30,0,0,0,0,0,0,spamming
8,5.25,0.030848,0.016694,0.010558,0,0,0,449,37,7,8,7,0,0,0,0,0,0,0,0,malware
2,7.5,0,0.000035,0,0,0,0,22665,50,4,0,0,0,0,0,0,1,0,0,0,phishing
2,7,0,0,0.000004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,spamming
3,4.666667,0.000643,0,0,0,0,0,333,37,7,8,7,0,0,0,0,0,0,0,0,malware
4,4.75,0.030848,0.016694,0.010558,0,0,0,325,2,13,1,14,4,0,0,0,1,0,0,0,phishing
2,4,0,0,0.000004,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,spamming
