@relation mixed_instances_2

@attribute token_count numeric
@attribute avg_token_count numeric
@attribute SLD_URL_mal numeric
@attribute SLD_URL_phis numeric
@attribute SLD_URL_spam numeric
@attribute inbound_link_google numeric
@attribute inbound_link_yahoo numeric
@attribute inbound_link_bing numeric
@attribute lookup_time numeric
@attribute trust_score_1 numeric
@attribute trust_score_2 numeric
@attribute safety_score_1 numeric
@attribute safety_score_2 numeric
@attribute category_negative numeric
@attribute category_questionable numeric
@attribute category_neutral numeric
@attribute category_positive numeric
@attribute blacklist_mal numeric
@attribute blacklist_phis numeric
@attribute blacklist_scam numeric
@attribute blacklist_spam numeric
@attribute class {normal,abnormal}

@data
2,4.5,0,0.000866,0,0,0,0,61,94,73,92,65,0,0,46,99,0,0,0,0,normal
4,4.25,0.000643,0.000035,0,0,0,0,285,2,14,6,9,0,0,0,0,0,0,0,0,abnormal
2,5.5,0,0,0,0,0,0,64,85,55,78,41,0,0,17,96,0,0,0,0,normal
3,4.666667,0.000643,0,0,0,0,0,386,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
2,5,0,0,0,0,0,0,95,92,66,83,48,0,0,14,100,0,0,0,0,normal
3,4.666667,0.000643,0,0,0,0,0,396,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
2,4,0,0,0,0,0,0,95,84,44,82,39,0,0,25,96,0,0,0,0,normal
8,5.25,0.030848,0.016694,0.010558,0,0,0,449,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
2,4,0,0.000139,0,0,0,0,47,94,75,93,69,0,0,10,99,0,0,0,0,normal
3,4.666667,0.000643,0,0,0,0,0,333,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
2,4.5,0,0,0,0,0,0,74,94,81,94,72,0,0,5,100,0,0,0,0,normal
3,6,0.000643,0,0,0,0,0,331,5,12,8,7,0,0,0,0,0,0,0,0,abnormal
2,6,0,0,0,0,0,0,65,94,66,93,59,0,0,10,99,0,0,0,0,normal
3,5.333333,0.000643,0,0,0,0,0,383,44,6,8,6,0,4,0,0,0,0,0,0,abnormal
2,2.5,0,0,0,0,0,0,104,78,40,74,34,0,0,0,99,0,0,0,0,normal
3,4.666667,0.000643,0,0,0,0,0,353,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
3,3.333333,0.000643,0.00194,0.000285,0,0,0,57,94,56,91,50,0,0,27,98,0,0,0,0,normal
3,5.666667,0.000643,0,0,0,0,0,391,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
2,5,0,0,0,0,0,0,58,92,67,88,53,0,0,12,92,0,0,0,0,normal
3,4.666667,0.000643,0,0,0,0,0,380,37,7,8,6,4,0,0,0,0,0,0,0,abnormal
2,3.5,0,0.00045,0,0,0,0,70,92,61,92,57,0,0,3,100,0,0,0,0,normal
3,4,0.000643,0,0,0,0,0,485,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
2,4.5,0,0,0,0,0,0,51,89,52,87,47,0,0,4,100,0,0,0,0,normal
3,5,0.000643,0,0,0,0,0,431,44,6,9,5,0,0,0,0,0,0,0,0,abnormal
3,3,0.000643,0.001039,0.000013,0,0,0,1156,84,41,81,35,0,0,0,100,0,0,0,0,normal
3,6,0.000643,0,0,0,0,0,441,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
3,3,0.001285,0.000589,0,0,0,0,149,92,57,91,55,0,0,19,99,0,0,0,0,normal
3,8.666667,0.000643,0,0,0,0,0,430,44,6,8,6,0,0,0,0,0,0,0,0,abnormal
2,3,0,0,0,0,0,0,82,92,70,92,62,0,0,18,100,0,0,0,0,normal
3,4.666667,0.000643,0,0,0,0,0,352,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
2,4,0,0,0,0,0,0,284,87,49,85,41,0,0,11,94,0,0,0,0,normal
3,6,0.000643,0,0,0,0,0,75,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
3,3.333333,0.001285,0.000589,0,0,0,0,67,93,56,91,50,0,0,3,98,0,0,0,0,normal
3,4.666667,0.000643,0,0,0,0,0,404,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
2,5.5,0,0,0,0,0,0,51,93,71,93,60,0,0,15,99,0,0,0,0,normal
3,5,0.000643,0,0,0,0,0,377,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
2,3.5,0,0,0,0,0,0,61,93,71,93,59,0,0,10,98,0,0,0,0,normal
3,5.333333,0.000643,0,0,0,0,0,447,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
2,2.5,0,0,0,0,0,0,50,87,48,75,30,0,0,33,4,0,0,0,0,normal
3,5.666667,0.000643,0,0,0,0,0,426,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
2,4,0,0,0,0,0,0,383,90,49,89,44,0,0,33,16,0,0,0,0,normal
3,5,0.000643,0,0,0,0,0,404,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
2,4.5,0,0,0,0,0,0,105,81,34,81,32,0,0,0,83,0,0,0,0,normal
3,5,0.000643,0,0,0,0,0,353,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
