@relation mixed_instances_1

@attribute token_count numeric
@attribute avg_token_count numeric
@attribute SLD_URL_mal numeric
@attribute SLD_URL_phis numeric
@attribute SLD_URL_spam numeric
@attribute inbound_link_google numeric
@attribute inbound_link_yahoo numeric
@attribute inbound_link_bing numeric
@attribute lookup_time numeric
@attribute class {malware,phishing,spamming}

@data
4,4.25,0.000643,0.000035,0,0,0,0,306,malware
4,4.25,0.00964,0.038167,0.00537,0,0,0,1254,phishing
2,5.5,0,0,0.000004,0,0,0,24007,spamming
3,4.666667,0.000643,0,0,0,0,0,411,malware
4,2.5,0,0.000069,0,0,0,0,1,phishing
2,8.5,0,0,0.000004,0,0,0,51,spamming
3,4.666667,0.000643,0,0,0,0,0,420,malware
2,5,0,0.00045,0,0,0,0,71,phishing
2,9,0,0,0.000004,0,0,0,45,spamming
8,5.25,0.030848,0.016694,0.010558,0,0,0,449,malware
2,7.5,0,0.000035,0,0,0,0,21304,phishing
2,7,0,0,0.000004,0,0,0,1,spamming
3,4.666667,0.000643,0,0,0,0,0,384,malware
4,4.75,0.030848,0.016694,0.010558,0,0,0,340,phishing
2,4,0,0,0.000004,0,0,0,44,spamming
3,6,0.000643,0,0,0,0,0,500,malware
5,5.4,0,0.000035,0,0,0,0,310,phishing
2,4,0,0,0.000004,0,0,0,36,spamming
3,5.333333,0.000643,0,0,0,0,0,624,malware
3,3.666667,0.00964,0.038167,0.00537,0,0,0,377,phishing
2,4,0,0,0.000004,0,0,0,225,spamming
3,4.666667,0.000643,0,0,0,0,0,762,malware
3,10,0,0.000035,0,0,0,0,396,phishing
2,4,0,0,0.000004,0,0,0,45,spamming
3,5.666667,0.000643,0,0,0,0,0,403,malware
3,7.666667,0,0.000104,0,0,0,0,425,phishing
2,4,0,0,0.000004,0,0,0,81,spamming
3,4.666667,0.000643,0,0,0,0,0,542,malware
3,5,0.000643,0.008382,0.000017,0,0,0,332,phishing
2,4,0,0,0.000004,0,0,0,40,spamming
3,4,0.000643,0,0,0,0,0,376,malware
3,7.666667,0,0.000035,0,0,0,0,328,phishing
2,5,0,0,0.000004,0,0,0,24007,spamming
3,5,0.000643,0,0,0,0,0,324,malware
4,4.75,0,0.000035,0,0,0,0,231,phishing
2,4,0,0,0.000004,0,0,0,83,spamming
3,6,0.000643,0,0,0,0,0,680,malware
3,5.666667,0,0.000069,0,0,0,0,65,phishing
3,3,0,0,0.000004,0,0,0,301,spamming
3,8.666667,0.000643,0,0,0,0,0,319,malware
3,5.666667,0,0.000069,0,0,0,0,0,phishing
3,2.333333,0,0,0.000004,0,0,0,83,spamming
3,4.666667,0.000643,0,0,0,0,0,438,malware
5,4.2,0,0.000104,0,0,0,0,280,phishing
2,6,0,0,0.000004,0,0,0,1,spamming
3,6,0.000643,0,0,0,0,0,183,malware
3,5,0.000643,0.008382,0.000017,0,0,0,0,phishing
2,4,0,0,0.000004,0,0,0,320,spamming
3,4.666667,0.000643,0,0,0,0,0,379,malware
