@relation 'Reputation Site Dataset'

@attribute token_count numeric
@attribute avg_token_count numeric
@attribute SLD_URL_mal numeric
@attribute SLD_URL_phis numeric
@attribute SLD_URL_spam numeric
@attribute inbound_link_google numeric
@attribute inbound_link_yahoo numeric
@attribute inbound_link_bing numeric
@attribute lookup_time numeric
@attribute class {malware,phishing,spamming}

@data
4,4.25,0.000643,0.000035,0,0,0,0,306,malware
3,4.666667,0.000643,0,0,0,0,0,411,malware
3,4.666667,0.000643,0,0,0,0,0,420,malware
8,5.25,0.030848,0.016694,0.010558,0,0,0,449,malware
3,4.666667,0.000643,0,0,0,0,0,384,malware
3,6,0.000643,0,0,0,0,0,500,malware
3,5.333333,0.000643,0,0,0,0,0,624,malware
3,4.666667,0.000643,0,0,0,0,0,762,malware
3,5.666667,0.000643,0,0,0,0,0,403,malware
3,4.666667,0.000643,0,0,0,0,0,542,malware
3,4,0.000643,0,0,0,0,0,376,malware
3,5,0.000643,0,0,0,0,0,324,malware
3,6,0.000643,0,0,0,0,0,680,malware
3,8.666667,0.000643,0,0,0,0,0,319,malware
3,4.666667,0.000643,0,0,0,0,0,438,malware
3,6,0.000643,0,0,0,0,0,183,malware
3,4.666667,0.000643,0,0,0,0,0,379,malware
3,5,0.000643,0,0,0,0,0,406,malware
3,5.333333,0.000643,0,0,0,0,0,404,malware
3,5.666667,0.000643,0,0,0,0,0,352,malware
3,5,0.000643,0,0,0,0,0,393,malware
3,5,0.000643,0,0,0,0,0,820,malware
2,6,0.000643,0,0,0,0,0,283,malware
3,3.333333,0.000643,0,0,0,0,0,24007,malware
3,4.333333,0.000643,0,0,0,0,0,395,malware
3,7,0.000643,0,0,0,0,0,322,malware
3,5.333333,0.000643,0,0,0,0,0,371,malware
3,4.333333,0.000643,0,0,0,0,0,408,malware
3,6,0.000643,0,0,0,0,0,349,malware
3,5.333333,0.000643,0,0,0,0,0,559,malware
3,3,0.000643,0,0,0,0,0,299,malware
4,2,0.000643,0,0,0,0,0,311,malware
4,3.75,0.000643,0,0,0,0,0,77,malware
3,5.666667,0.000643,0,0,0,0,0,353,malware
3,6,0.000643,0,0,0,0,0,312,malware
3,5,0.000643,0,0,0,0,0,430,malware
3,5.333333,0.000643,0,0,0,0,0,566,malware
3,5.333333,0.000643,0,0,0,0,0,561,malware
