@relation 'Reputation Site Dataset'

@attribute trust_score_1 numeric
@attribute trust_score_2 numeric
@attribute safety_score_1 numeric
@attribute safety_score_2 numeric
@attribute category_negative numeric
@attribute category_questionable numeric
@attribute category_neutral numeric
@attribute category_positive numeric
@attribute blacklist_mal numeric
@attribute blacklist_phis numeric
@attribute blacklist_scam numeric
@attribute blacklist_spam numeric
@attribute class {normal,abnormal}

@data
2,14,6,9,0,0,0,0,0,0,0,0,abnormal
37,7,8,7,0,0,0,0,0,0,0,0,abnormal
37,7,8,7,0,0,0,0,0,0,0,0,abnormal
37,7,8,7,0,0,0,0,0,0,0,0,abnormal
37,7,8,7,0,0,0,0,0,0,0,0,abnormal
5,12,8,7,0,0,0,0,0,0,0,0,abnormal
44,6,8,6,0,4,0,0,0,0,0,0,abnormal
37,7,8,7,0,0,0,0,0,0,0,0,abnormal
37,7,8,7,0,0,0,0,0,0,0,0,abnormal
37,7,8,6,4,0,0,0,0,0,0,0,abnormal
37,7,8,7,0,0,0,0,0,0,0,0,abnormal
44,6,9,5,0,0,0,0,0,0,0,0,abnormal
37,7,8,7,0,0,0,0,0,0,0,0,abnormal
44,6,8,6,0,0,0,0,0,0,0,0,abnormal
37,7,8,7,0,0,0,0,0,0,0,0,abnormal
37,7,8,7,0,0,0,0,0,0,0,0,abnormal
37,7,8,7,0,0,0,0,0,0,0,0,abnormal
37,7,8,7,0,0,0,0,0,0,0,0,abnormal
37,7,8,7,0,0,0,0,0,0,0,0,abnormal
37,7,8,7,0,0,0,0,0,0,0,0,abnormal
37,7,8,7,0,0,0,0,0,0,0,0,abnormal
37,7,8,7,0,0,0,0,0,0,0,0,abnormal
21,9,6,6,4,0,0,0,0,0,0,0,abnormal
2,14,3,7,30,0,0,0,0,0,0,0,abnormal
37,7,8,7,0,0,0,0,0,0,0,0,abnormal
48,5,5,5,0,0,0,0,0,0,0,0,abnormal
19,9,5,5,0,0,0,0,0,0,0,0,abnormal
37,7,8,7,0,0,0,0,0,0,0,0,abnormal
12,10,8,7,0,0,0,0,0,0,0,0,abnormal
37,7,8,7,0,0,0,0,0,0,0,0,abnormal
2,13,3,6,6,0,0,0,0,0,0,0,abnormal
6,12,8,7,0,0,0,0,0,0,0,0,abnormal
37,7,8,7,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
37,7,8,7,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
44,6,12,5,7,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
12,10,8,7,0,0,0,0,0,0,0,0,abnormal
2,14,8,7,3,0,0,0,0,0,0,0,abnormal
37,7,8,7,0,0,0,0,0,0,0,0,abnormal
2,15,5,7,4,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
37,7,8,7,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
